instance,config,run,score,duration_sec,timed_out
toy,C5_WidePopulation,8,380,0.578,False
toy,C5_WidePopulation,9,380,0.47,False
toy,C5_WidePopulation,10,380,0.479,False
uk_iptv,C1_Baseline,1,-1,300.046,True
uk_iptv,C2_Exploitation,1,-1,300.05,True
uk_iptv,C3_Exploration,1,-1,300.042,True
uk_iptv,C4_Balanced,1,2440,249.592,False
uk_iptv,C4_Balanced,2,2529,227.727,False
uk_iptv,C5_WidePopulation,1,2502,1938.78,False
uk_tv_input,C1_Baseline,1,1341,22.965,False
uk_tv_input,C1_Baseline,2,1354,25.503,False
uk_tv_input,C1_Baseline,3,1525,25.454,False
uk_tv_input,C1_Baseline,4,1370,23.433,False
uk_tv_input,C1_Baseline,5,1538,26.106,False
uk_tv_input,C1_Baseline,6,1371,28.339,False
uk_tv_input,C1_Baseline,7,1385,22.536,False
uk_tv_input,C1_Baseline,8,1477,27.504,False
uk_tv_input,C1_Baseline,9,1497,26.18,False
uk_tv_input,C1_Baseline,10,1454,24.958,False
uk_tv_input,C2_Exploitation,1,1563,33.215,False
uk_tv_input,C2_Exploitation,2,1332,26.382,False
uk_tv_input,C2_Exploitation,3,1414,32.961,False
uk_tv_input,C2_Exploitation,4,1247,23.741,False
uk_tv_input,C2_Exploitation,5,1404,26.421,False
uk_tv_input,C2_Exploitation,6,1283,29.91,False
uk_tv_input,C2_Exploitation,7,1283,26.772,False
uk_tv_input,C2_Exploitation,8,1249,22.627,False
uk_tv_input,C2_Exploitation,9,1449,26.424,False
uk_tv_input,C2_Exploitation,10,1469,29.936,False
uk_tv_input,C3_Exploration,1,1427,31.3,False
uk_tv_input,C3_Exploration,2,1437,31.763,False
uk_tv_input,C3_Exploration,3,1472,32.743,False
uk_tv_input,C3_Exploration,4,1427,32.321,False
uk_tv_input,C3_Exploration,5,1414,32.239,False
uk_tv_input,C3_Exploration,6,1452,32.112,False
uk_tv_input,C3_Exploration,7,1503,34.188,False
uk_tv_input,C3_Exploration,8,1501,29.342,False
uk_tv_input,C3_Exploration,9,1521,31.811,False
uk_tv_input,C3_Exploration,10,1444,29.897,False
uk_tv_input,C4_Balanced,1,1401,24.183,False
uk_tv_input,C4_Balanced,2,1484,18.97,False
uk_tv_input,C4_Balanced,3,1494,18.689,False
uk_tv_input,C4_Balanced,4,1409,17.214,False
uk_tv_input,C4_Balanced,5,1510,21.151,False
uk_tv_input,C4_Balanced,6,1513,18.148,False
uk_tv_input,C4_Balanced,7,1540,19.623,False
uk_tv_input,C4_Balanced,8,1377,18.973,False
uk_tv_input,C4_Balanced,9,1509,19.061,False
uk_tv_input,C4_Balanced,10,1427,17.656,False
uk_tv_input,C5_WidePopulation,1,1351,21.053,False
uk_tv_input,C5_WidePopulation,2,1499,23.029,False
uk_tv_input,C5_WidePopulation,3,1439,20.466,False
uk_tv_input,C5_WidePopulation,4,1433,32.897,False
uk_tv_input,C5_WidePopulation,5,1373,37.319,False
uk_tv_input,C5_WidePopulation,6,1473,31.307,False
uk_tv_input,C5_WidePopulation,7,1533,18.861,False
uk_tv_input,C5_WidePopulation,8,1439,19.196,False
uk_tv_input,C5_WidePopulation,9,1481,20.414,False
uk_tv_input,C5_WidePopulation,10,1348,17.722,False
usa_tv_input,C1_Baseline,1,1921,287.717,False
usa_tv_input,C1_Baseline,2,-1,300.039,True
usa_tv_input,C2_Exploitation,1,1711,299.604,False
usa_tv_input,C2_Exploitation,2,1711,267.156,False
usa_tv_input,C3_Exploration,1,2013,233.039,False
usa_tv_input,C3_Exploration,2,1877,232.765,False
usa_tv_input,C4_Balanced,1,1828,154.611,False
usa_tv_input,C4_Balanced,2,2068,165.123,False
usa_tv_input,C5_WidePopulation,1,1830,142.757,False
usa_tv_input,C5_WidePopulation,2,1799,140.373,False
usa_tv_input,C5_WidePopulation,3,1716,140.091,False
